Rank,Name,Score
1,9606.ENSP00000354394,38.0
2,9606.ENSP00000360869,36.0
3,9606.ENSP00000381601,35.0
3,9606.ENSP00000371471,35.0
5,9606.ENSP00000360883,33.0
6,9606.ENSP00000364016,31.0
7,9606.ENSP00000360891,30.0
8,9606.ENSP00000333657,29.0
9,9606.ENSP00000257570,28.0
10,9606.ENSP00000388001,27.0
10,9606.ENSP00000354822,27.0
10,9606.ENSP00000395590,27.0
10,9606.ENSP00000342513,27.0
10,9606.ENSP00000342278,27.0
15,9606.ENSP00000245414,26.0
15,9606.ENSP00000377218,26.0
15,9606.ENSP00000262878,26.0
15,9606.ENSP00000359497,26.0
15,9606.ENSP00000228928,26.0
20,9606.ENSP00000483430,25.0
