Method,Protein_ID,Symbol,Score
DMNC,ENSP00000252593,BST2,1.24392356816562
DMNC,ENSP00000262878,SAMHD1,1.24392356816562
DMNC,ENSP00000357459,ADAR,1.24392356816562
DMNC,ENSP00000359497,GBP2,1.24392356816562
DMNC,ENSP00000360860,IFIT5,1.24392356816562
DMNC,ENSP00000380073,IRF9,1.24392356816562
DMNC,ENSP00000381601,MX1,1.24392356816562
DMNC,ENSP00000382707,IFITM3,1.24392356816562
DMNC,ENSP00000386187,IFITM1,1.24392356816562
DMNC,ENSP00000483430,IFI27,1.24392356816562
DMNC,ENSP00000395590,IFI35,1.17941477259104
DMNC,ENSP00000245414,IRF1,1.16762062486513
DMNC,ENSP00000354394,STAT1,1.16762062486513
DMNC,ENSP00000342513,IFI6,1.16511470497811
DMNC,ENSP00000354822,XAF1,1.16511470497811
DMNC,ENSP00000228928,OAS3,1.15189509456392
DMNC,ENSP00000342278,OAS2,1.10980862721016
DMNC,ENSP00000388001,OAS1,1.10612155535897
DMNC,ENSP00000360891,IFIT2,1.06035749271915
DMNC,ENSP00000333657,MX2,0.989386618179347
